Head,Relation,Tail,Text,Label
laboratories,assesses,covid-19 vaccine candidates,cepi establishes global network of laboratories to centralise assessment of covid-19 vaccine candidates,Research-Test
face masks,increase,exposure to respiratory infections,professional and home-made face masks reduce exposure to respiratory infections among the general population,Cause-Effect
cholesterol 25-hydroxylase,inhibits,sars-cov-2 replication,cholesterol 25-hydroxylase suppresses sars-cov-2 replication by blocking membrane fusion,Cause-Effect
sars-cov-2 antibodies,increase,care homes affected by covid-19,high prevalence of sars-cov-2 antibodies in care homes affected by covid-19 ; a prospective cohort study in england,Cause-Effect
convalescent plasma,treats,coronavirus disease 2019 patients,significantly decreased mortality in a large cohort of coronavirus disease 2019 patients transfused early with convalescent plasma containing high-titer antisevere acute respiratory syndrome coronavirus 2 spike protein igg,Treatment
convalescent plasma,increase,mortality,significantly decreased mortality in a large cohort of coronavirus disease 2019 patients transfused early with convalescent plasma containing high-titer antisevere acute respiratory syndrome coronavirus 2 spike protein igg,Cause-Effect
sars-cov-2 spike protein,association,host receptor protein orthologues,sars-cov-2 spike protein predicted to form complexes with host receptor protein orthologues from a broad range of mammals,Association
ribonucleoside analogue mk-4482/eidd-2801,inhibits,sars-cov-2 transmission,therapeutically administered ribonucleoside analogue mk-4482/eidd-2801 blocks sars-cov-2 transmission in ferrets,Cause-Effect
health officials,announces,recommendations to reduce risk of spread of covid-19,local health officials announce new recommendations to reduce risk of spread of covid-19,Discovery-Validation
post-mortem examination of covid19 patients,shows,diffuse alveolar damage with severe capillary congestion,post-mortem examination of covid19 patients reveals diffuse alveolar damage with severe capillary congestion and variegated findings of lungs and other organs suggesting vascular dysfunction,Discovery-Validation
post-mortem examination of covid19 patients,shows,variegated findings of lungs,post-mortem examination of covid19 patients reveals diffuse alveolar damage with severe capillary congestion and variegated findings of lungs and other organs suggesting vascular dysfunction,Discovery-Validation
covid19,causes,vascular dysfunction,post-mortem examination of covid19 patients reveals diffuse alveolar damage with severe capillary congestion and variegated findings of lungs and other organs suggesting vascular dysfunction,Cause-Effect
sars-cov-2 variant,increase,united kingdom,rapid increase of a sars-cov-2 variant with multiple spike protein mutations observed in the united kingdom.,Cause-Effect
sars-cov-2 antibody responses,predicts,covid-19 disease severity,sars-cov-2 antibody responses do not predict covid-19 disease severity,Predicts
sars-cov-2,causes,fatal coronavirus disease,"pathology and pathogenesis of sars-cov-2 associated with fatal coronavirus disease , united states.",Cause-Effect
saliva sampling,provides,sars cov2 diagnostic tests,saliva sampling is an excellent option to increase the number of sars cov2 diagnostic tests in settings with supplies shortages,Provision-Support
measurement of sars-cov-2 rna in wastewater,shows,community infection dynamics,measurement of sars-cov-2 rna in wastewater tracks community infection dynamics,Discovery-Validation
serum,helps,timing of covid-19 infection,detection of sars-cov-2 nucleocapsid antigen from serum can aid in timing of covid-19 infection.,Provision-Support
beta-thalassemia,protects,covid 19,beta-thalassemia may protect against covid 19,Treatment
covid-19 transmission messages,supports,science,covid-19 transmission messages should hinge on science,Provision-Support
dozens,infects,coronavirus,dozens to be deliberately infected with coronavirus in uk human challenge trials,Transmit-Infect
mask,increase,risk,your mask cuts own risk by 65 percent,Cause-Effect
d614g mutation,increase,infectivity,the d614g mutation in the sars-cov2 spike protein increases infectivity in an ace2 receptor dependent manner,Cause-Effect
beacon pharma,treats,covid-19 patients,96 % of covid-19 patients recover in beacon pharma 's favipira trial,Treatment
d614g mutation,increase,transduction,the d614g mutation in sars-cov-2 spike increases transduction of multiple human cell types,Cause-Effect
urban air pollution,increase,covid-19 case-fatality and mortality rates,urban air pollution may enhance covid-19 case-fatality and mortality rates in the united states,Cause-Effect
sars-cov-2 reactive t cells,increase,uninfected individuals,sars-cov-2 reactive t cells in uninfected individuals are likely expanded by beta-coronaviruses,Cause-Effect
beta-coronaviruses,affects,t cells,sars-cov-2 reactive t cells in uninfected individuals are likely expanded by beta-coronaviruses,Cause-Effect
smoking prevalence,correlation,symptomatic patients admitted for covid-19,smoking prevalence is low in symptomatic patients admitted for covid-19 .,Association
angiotensin-converting enzyme 2,isa,sars-cov-2 receptor,"angiotensin-converting enzyme 2 , a sars-cov-2 receptor , is upregulated by interleukin-6 via stat3 signaling in rheumatoid synovium",Others
interleukin-6,regulates,angiotensin-converting enzyme 2,"angiotensin-converting enzyme 2 , a sars-cov-2 receptor , is upregulated by interleukin-6 via stat3 signaling in rheumatoid synovium",Regulation
covid-19affected patient,infects,cat,detection of sars-cov-2 in a cat owned by a covid-19affected patient in spain,Transmit-Infect
scientists,develops,antibody,scientists create antibody that defeats coronavirus in cell cultures,Research-Test
unfractionated heparin,inhibits,binding of sars-cov-2 spike protein,unfractionated heparin potently inhibits the binding of sars-cov-2 spike protein to a human cell line,Cause-Effect
sars-cov-2,affects,france,sars-cov-2 was already spreading in france in late december 2019,Cause-Effect
multi-level proteomics,studies,host-perturbation strategies,multi-level proteomics reveals host-perturbation strategies of sars-cov-2 and sars-cov,Research-Test
utah mink,infects,coronavirus,utah mink becomes first wild animal in us to test positive for coronavirus.,Transmit-Infect
mathematical model,predicts,influence of population heterogeneity on herd immunity,a mathematical model reveals the influence of population heterogeneity on herd immunity to sars-cov-2,Predicts
covid-19 icu patient,treats,respiratory failure,rapid clinical recovery of critical covid-19 icu patient with respiratory failure treated with rlf-100 drug,Treatment
rlf-100 drug,improves,clinical recovery,rapid clinical recovery of critical covid-19 icu patient with respiratory failure treated with rlf-100 drug,Cause-Effect
viral genomics,predicts,undetected infections,using viral genomics to estimate undetected infections and extent of superspreading events for covid-19,Predicts
viral genomics,predicts,superspreading events,using viral genomics to estimate undetected infections and extent of superspreading events for covid-19,Predicts
mit team,develops,rapid covid-19 test,mit team collaborates with 3m to develop rapid covid-19 test,Research-Test
3m,supports,rapid covid-19 test,mit team collaborates with 3m to develop rapid covid-19 test,Provision-Support
musc team,develops,3d printed masks,musc team releases plans for 3d printed masks,Research-Test
covid-19 antibody test,approves,uk,new 100 % accurate covid-19 antibody test approved for use in uk,Regulation
viral load around onset,affects,transmissibility of covid-19,transmissibility of covid-19 depends on the viral load around onset in adult and symptomatic patients,Cause-Effect
pre-covid-19 humoral immunity,protects,sars-cov-2,pre-covid-19 humoral immunity to common coronaviruses does not confer cross-protection against sars-cov-2,Treatment
face masks,increase,covid-19 cases,face masks considerably reduce covid-19 cases in germany,Cause-Effect
mutations,predicts,rapid host-adaptation,recurrent mutations in sars-cov-2 genomes isolated from mink point to rapid host-adaptation,Predicts
anticoagulant treatment,increase,mortality in severe coronavirus disease 2019 patients with coagulopathy,anticoagulant treatment is associated with decreased mortality in severe coronavirus disease 2019 patients with coagulopathy,Cause-Effect
brazilian health regulatory agency,approves,trial of oxford covid-19 vaccine,brazilian health regulatory agency approves trial of oxford covid-19 vaccine,Regulation
amantadine,treats,covid19 symptoms,polish doctor treats covid19 symptoms within 48h with amantadine .,Treatment
spatial profiling,studies,virus-specific host responses,spatial profiling of lung sars-cov-2 and influenza virus infection dissects virus-specific host responses and gene signatures,Research-Test
spatial profiling,studies,gene signatures,spatial profiling of lung sars-cov-2 and influenza virus infection dissects virus-specific host responses and gene signatures,Research-Test
european commission,approves,first safe and effective vaccine against covid-19,european commission authorises first safe and effective vaccine against covid-19.,Regulation
comparative genomics,predicts,limited variability,comparative genomics suggests limited variability and similar evolutionary patterns between major clades of sars-cov-2,Predicts
comparative genomics,predicts,similar evolutionary patterns,comparative genomics suggests limited variability and similar evolutionary patterns between major clades of sars-cov-2,Predicts
interferon-b trial,shows,positive results,interferon-b trial shows positive results,Discovery-Validation
saliva viral load,correlation,covid-19 severity,saliva viral load is a dynamic unifying correlate of covid-19 severity and mortality.,Association
adverse events,increase,those receiving the drug,adverse events were more common in those receiving the drug .,Cause-Effect
sarscov2 spike protein,affects,barrier function,the sarscov2 spike protein alters barrier function in 2d static and 3d microfluidic in vitro models of the human bloodbrain barrier,Cause-Effect
immunological memory,assesses,sars-cov-2,immunological memory to sars-cov-2 assessed for up to 8 months after infection.,Research-Test
spike nanoparticle vaccine,protects,macaques from sars-cov-2 infection,two-component spike nanoparticle vaccine protects macaques from sars-cov-2 infection,Treatment
type i interferon,inhibits,viral dissemination,type i interferon limits viral dissemination-driven clinical heterogeneity in a native murine betacoronavirus model of covid-19,Cause-Effect
heartburn drug,helps,covid-19,heartburn drug may have potential against covid-19,Provision-Support
neutrophil-to-lymphocyte ratio and igg,predicts,disease severity and outcome,immune phenotyping based on neutrophil-to-lymphocyte ratio and igg predicts disease severity and outcome for patients with covid-19,Predicts
immune protein,prevents,severe covid-19,an immune protein could prevent severe covid-19 -- if it is given at the right time,Cause-Effect
sars-cov-2 variant a222v,increase,"lazio region , italy","the newly introduced sars-cov-2 variant a222v is rapidly spreading in lazio region , italy",Cause-Effect
fda,announces,guidance,fda is issuing this guidance to provide a policy to help expand the availability of general use face masks for the general public and particulate filtering facepiece respirators .,Discovery-Validation
sars-cov-2 nsp1,inhibits,translation,sars-cov-2 nsp1 binds the ribosomal mrna channel to inhibit translation,Cause-Effect
self-reported symptoms,predicts,sars-cov-2 infection,"self-reported symptoms of covid-19 including symptoms most predictive of sars-cov-2 infection , are heritable",Predicts
superspreader,infects,nearly 40 people with coronavirus,superspreader ' in south korea infects nearly 40 people with coronavirus,Transmit-Infect
interleukin-7,improves,clinical outcomes in lymphopenic patients with covid-19 infection,interleukin-7 to improve clinical outcomes in lymphopenic patients with covid-19 infection uk cohort,Cause-Effect
genome-wide crispr screen,identifies,host genes that regulate sars-cov-2 infection,genome-wide crispr screen reveals host genes that regulate sars-cov-2 infection,Discovery-Validation
neutrophil-to-lymphocyte ratio,predicts,efficacy of corticosteroid therapy in patients with covid-19,the neutrophil-to-lymphocyte ratio determines clinical efficacy of corticosteroid therapy in patients with covid-19.,Predicts
pollen exposure,increase,innate defense against respiratory viruses,pollen exposure weakens innate defense against respiratory viruses .,Cause-Effect
withanone and withaferin-a,inhibits,entry of sars-cov-2 into cells,withanone and withaferin-a are predicted to interact with transmembrane protease serine 2 and block entry of sars-cov-2 into cells,Cause-Effect
rlf-100 trial,improves,covid-19 patients,rlf-100 trial shows rapid recovery in covid-19 patients,Cause-Effect
severe acute respiratory syndrome coronavirus 2,transmits,person-to-person transmission,first known person-to-person transmission of severe acute respiratory syndrome coronavirus 2 in the usa,Transmit-Infect
surgical mask partition,increase,risk of noncontact transmission,surgical mask partition reduces the risk of noncontact transmission in a golden syrian hamster model for coronavirus disease 2019,Cause-Effect
coronavirus,affects,americans,"as coronavirus spreads , fewer americans see pandemic as a real threat",Cause-Effect
blood thinners,improves,survival among hospitalized covid-19 patients,blood thinners may improve survival among hospitalized covid-19 patients,Cause-Effect
sars-cov-2 infection,causes,neutralizing antibody responses,"sars-cov-2 infection induces robust , neutralizing antibody responses that are stable for at least three months",Cause-Effect
miglustat,inhibits,sars-cov-2,repurposing of miglustat to inhibit the coronavirus severe acquired respiratory syndrome sars-cov-2.,Cause-Effect
cardiac infection,association,sars-cov-2,association of cardiac infection with sars-cov-2 in confirmed covid-19 autopsy cases,Association
melatonin,improves,survival of intubated covid-19 patients,melatonin is significantly associated with survival of intubated covid-19 patients,Cause-Effect
influenza virions,develops,neutralizing antibodies,attenuated influenza virions expressing the sars- cov-2 receptor-binding domain induce neutralizing antibodies in mice,Research-Test
tlr2 agonist,protects,upper respiratory tract viral shedding,prophylactic intranasal administration of a tlr2 agonist reduces upper respiratory tract viral shedding in a sars-cov-2 challenge ferret model,Treatment
covid-19,infects,reinfection,first case of covid-19 reinfection confirmed,Transmit-Infect
remestemcel-l,treats,covid-19,"novartis bags mesoblast limited cell therapy , remestemcel-l for covid-19 ards .",Treatment
antibodies to sars-cov-2,protects,reinfection,antibodies to sars-cov-2 are associated with protection against reinfection,Treatment
physical interventions,stops,spread of respiratory viruses,physical interventions to interrupt or reduce the spread of respiratory viruses,Cause-Effect
covid-19,causes,long-term lung and heart damage,covid-19 causes long-term lung and heart damage but it may improve with time,Cause-Effect
lung and heart damage,improves,with time,covid-19 causes long-term lung and heart damage but it may improve with time,Cause-Effect
pence,announces,coronavirus vaccine distribution,pence tells governors coronavirus vaccine distribution could begin in two weeks,Discovery-Validation
guillain-barre syndrome,related_to,covid-19,"rare neurological disorder , guillain-barre syndrome , linked to covid-19",Association
viral epitope profiling,studies,covid-19 patients,viral epitope profiling of covid-19 patients reveals cross-reactivity and correlates of severity,Research-Test
covid-19 patients,correlation,severity,viral epitope profiling of covid-19 patients reveals cross-reactivity and correlates of severity,Association
anti-ck2 synthetic peptide,treats,covid-19 patients with pneumonia,treatment with an anti-ck2 synthetic peptide improves clinical response in covid-19 patients with pneumonia .,Treatment
anti-ck2 synthetic peptide,improves,clinical response,treatment with an anti-ck2 synthetic peptide improves clinical response in covid-19 patients with pneumonia .,Cause-Effect
ema,approves,use of dexamethasone,ema endorses use of dexamethasone in covid-19 patients on oxygen or mechanical ventilation,Regulation
dexamethasone,treats,covid-19 patients on oxygen or mechanical ventilation,ema endorses use of dexamethasone in covid-19 patients on oxygen or mechanical ventilation,Treatment
symptom-based case predictions,identifies,host genetic factors,using symptom-based case predictions to identify host genetic factors that contribute to covid-19 susceptibility,Discovery-Validation
new covid-19 test,tests,individuals without symptoms,oxford to trial new covid-19 test for individuals without symptoms,Research-Test
one-step test,provides,rapid and sensitive covid-19 detection,one-step test provides rapid and sensitive covid-19 detection,Provision-Support
change points,assesses,spread of covid-19,inferring change points in the spread of covid-19 reveals the effectiveness of interventions,Research-Test
interventions,affects,spread of covid-19,inferring change points in the spread of covid-19 reveals the effectiveness of interventions,Cause-Effect
insert sequence,improves,spike protein cleavage,the insert sequence in sars-cov-2 enhances spike protein cleavage by tmprss,Cause-Effect
early hydroxychloroquine,increase,icu admission,early hydroxychloroquine but not chloroquine use reduces icu admission in covid-19 patients,Cause-Effect
pfizer 's vaccine,causes,bell 's palsy,four volunteers who got pfizer 's vaccine developed bell 's palsy,Cause-Effect
